Nom_produit,Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Prix (€),Site Internet,Longueur,Largeur,Epaisseur,Type du GPU
powercolor radeon rx 7900 xtx,radeon rx 7900,powercolor,24,gddr6,pci express 4.0,1159.99,topachat.com,287.0,123.2,51.25,radeon
zotac geforce rtx 4080 trinity (16 go),geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,1499.99,topachat.com,356.1,150.1,71.4,geforce
asus geforce rtx 4080 rog strix o16g gaming (16 go),geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1789.99,topachat.com,357.6,149.3,70.1,geforce
msi geforce rtx 4090 gaming trio,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2049.99,topachat.com,337.0,140.0,77.0,geforce
msi geforce rtx 4090 ventus 3x oc,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2029.99,topachat.com,322.0,136.0,62.0,geforce
msi geforce rtx 3050 gaming x (lhr),geforce rtx 3050,msi,8,gddr6,pci express 4.0,429.99,topachat.com,278.0,130.0,49.0,geforce
asus geforce rtx 4090 tuf o24g gaming,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2279.99,topachat.com,348.2,150.0,72.6,geforce
msi geforce rtx 4090 gaming x trio,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2199.99,topachat.com,337.0,140.0,77.0,geforce
gigabyte radeon rx 6500 xt gaming oc ,radeon rx 6500,gigabyte,4,gddr6,pci express 4.0,239.99,topachat.com,282.0,114.0,40.0,radeon
zotac geforce rtx 4090 trinity oc,geforce rtx 4090,zotac,24,gddr6x,pci express 4.0,2079.99,topachat.com,356.1,150.1,71.4,geforce
kfa2 geforce rtx 4090 sg,geforce rtx 4090,kfa2,24,gddr6x,pci express 4.0,2079.99,topachat.com,352.0,153.0,74.0,geforce
gigabyte geforce rtx 3060 windforce oc (12 go) (lhr),geforce rtx 3060,gigabyte,12,gddr6,pci express 4.0,409.99,topachat.com,198.0,121.0,39.0,geforce
pny geforce rtx 3070 ti verto triple fan (lhr),geforce rtx 3070,pny,8,gddr6x,pci express 4.0,749.99,topachat.com,-1.0,-1.0,-1.0,geforce
gainward geforce gtx 1630 ghost,geforce gtx 1630,gainward,4,gddr6,pci express 3.0,189.99,topachat.com,170.0,112.0,-1.0,geforce
aorus geforce rtx 4080 master (16 go),geforce rtx 4080,aorus,16,gddr6x,pci express 4.0,1749.99,topachat.com,357.0,163.0,75.0,geforce
aorus geforce rtx 4080 xtreme waterforce (16 go),geforce rtx 4080,aorus,16,gddr6x,pci express 4.0,1789.99,topachat.com,-1.0,-1.0,-1.0,geforce
asus radeon rx 7900 xtx,radeon rx 7900,asus,24,gddr6,pci express 4.0,1329.99,topachat.com,287.0,123.2,51.25,radeon
asus radeon rx 7900 xt,radeon rx 7900,asus,20,gddr6,pci express 4.0,1189.99,topachat.com,276.4,112.7,51.25,radeon
asus geforce rtx 4080 rog strix 16g gaming (16 go),geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1749.99,topachat.com,357.6,149.3,70.1,geforce
gigabyte geforce rtx 4080 eagle (16 go),geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1559.99,topachat.com,342.0,150.0,70.0,geforce
gigabyte radeon rx 7900 xtx,radeon rx 7900,gigabyte,24,gddr6,pci express 4.0,1189.99,topachat.com,287.0,123.2,51.25,radeon
kfa2 geforce rtx 4090 st v2 (1-click oc),geforce rtx 4090,kfa2,24,gddr6x,pci express 4.0,1949.99,topachat.com,352.0,153.0,74.0,geforce
asus geforce rtx 4090 rog strix o24g white,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2479.99,topachat.com,-1.0,-1.0,-1.0,geforce
msi geforce rtx 4070 ti ventus 3x oc (12 go),geforce rtx 4070,msi,12,gddr6x,pci express 4.0,899.99,topachat.com,308.0,123.0,52.0,geforce
msi geforce rtx 4070 ti gaming trio (12 go),geforce rtx 4070,msi,16,gddr6x,pci express 4.0,999.99,topachat.com,337.0,140.0,62.0,geforce
kfa2 geforce rtx 4070 ti st (1-click oc) (12 go),geforce rtx 4070,kfa2,12,gddr6x,pci express 4.0,1199.99,topachat.com,336.0,148.0,62.0,geforce
pny geforce rtx 4070 ti verto triple fan (12 go),geforce rtx 4070,pny,12,gddr6x,pci express 4.0,1029.99,topachat.com,305.1,119.4,60.6,geforce
pny geforce rtx 4070 ti xlr8 gaming verto (12 go),geforce rtx 4070,pny,12,gddr6x,pci express 4.0,1089.99,topachat.com,332.0,137.0,66.0,geforce
asus geforce rtx 4070 ti tuf 12g gaming (12 go),geforce rtx 4070,asus,12,gddr6x,pci express 4.0,899.99,topachat.com,305.0,138.0,65.0,geforce
msi geforce rtx 4090 suprim x liquid,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2399.99,topachat.com,-1.0,-1.0,-1.0,geforce
msi geforce rtx 4070 ti suprim x (12 go),geforce rtx 4070,msi,12,gddr6x,pci express 4.0,1149.99,topachat.com,338.0,142.0,73.0,geforce
gainward geforce rtx 4090 phantom gs,geforce rtx 4090,gainward,24,gddr6x,pci express 4.0,2079.99,topachat.com,329.4,141.6,69.7,geforce
pny geforce rtx 4080 tf verto (16 go),geforce rtx 4080,pny,16,gddr6x,pci express 4.0,1529.99,topachat.com,340.4,142.9,59.4,geforce
pny geforce rtx 4080 xlr8 tf verto epic-x rgb (16 go),geforce rtx 4080,pny,16,gddr6x,pci express 4.0,1579.99,topachat.com,331.8,136.8,71.1,geforce
msi geforce rtx 4080 gaming trio (16 go),geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1529.99,topachat.com,337.0,140.0,67.0,geforce
asrock amd radeon rx 6600 challenger itx 8gb,radeon rx 6600,asrock,8,gddr6,pci express 4.0,499.96,ldlc.com,179.0,124.0,40.0,radeon
asrock amd radeon rx 6650 xt phantom gaming d 8gb oc,radeon rx 6650,asrock,8,gddr6,pci express 4.0,489.95,ldlc.com,305.0,131.0,48.0,radeon
asrock radeon rx 6650 xt challenger d 8gb oc,radeon rx 6650,asrock,8,gddr6,pci express 4.0,479.95,ldlc.com,269.0,132.0,41.0,radeon
asus dual geforce rtx 3050 o8g (lhr),geforce rtx 3050,asus,8,gddr6,pci express 4.0,369.95,ldlc.com,200.0,123.0,38.0,geforce
asus dual geforce rtx 3060 o8g (lhr),geforce rtx 3060,asus,8,gddr6,pci express 4.0,409.96,ldlc.com,200.0,123.0,38.0,geforce
asus geforce gt 730-sl-2gd5-brk-e,geforce gt 730,asus,2,gddr5,pci express 2.0,104.95,ldlc.com,167.0,69.0,17.0,geforce
asus geforce rtx dual 3060 ti o8g mini v2 (lhr),geforce rtx 3060,asus,8,gddr6,pci express 4.0,549.95,ldlc.com,200.0,123.0,38.0,geforce
asus geforce rtx dual 3060 ti o8g v2 (lhr),geforce rtx 3060,asus,8,gddr6,pci express 4.0,589.96,ldlc.com,269.0,136.0,52.0,geforce
asus phoenix geforce rtx 3060 v2 (lhr),geforce rtx 3060,asus,12,gddr6,pci express 4.0,419.95,ldlc.com,177.0,128.0,51.0,geforce
asus radeon rx 6400 dual 4g,radeon rx 6400,asus,4,gddr6,pci express 4.0,199.96,ldlc.com,201.0,124.0,40.5,radeon
asus radeon rx 6400 phoenix 4g,radeon rx 6400,asus,4,gddr6,pci express 4.0,189.95,ldlc.com,196.0,128.0,40.5,radeon
asus radeon rx 6650 xt dual o8g oc,radeon rx 6650,asus,8,gddr6,pci express 4.0,439.96,ldlc.com,243.0,134.0,49.0,radeon
asus rog strix geforce rtx 4080 white oc edition 16gb,geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1919.95,ldlc.com,357.6,149.3,70.1,geforce
asus tuf gaming geforce rtx 4080 oc edition 16gb,geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1629.95,ldlc.com,349.0,150.0,73.0,geforce
asus tuf geforce rtx 3060 ti o8g gaming gddr6x (lhr),geforce rtx 3060,asus,8,gddr6x,pci express 4.0,599.95,ldlc.com,302.0,142.0,54.0,geforce
asus tuf gaming geforce rtx 4070 ti oc edition 12gb,geforce rtx 4070,asus,12,gddr6x,pci express 4.0,1099.94,ldlc.com,305.0,138.0,65.0,geforce
asus tuf gaming geforce rtx 4090 oc edition 24gb,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2299.94,ldlc.com,348.2,160.0,72.6,geforce
asus rog strix geforce rtx 4090 24gb,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2429.95,ldlc.com,357.6,149.3,70.1,geforce
asus geforce gtx 1650 tuf-gtx1650-o4gd6-p-gaming,geforce gtx 1650,asus,4,gddr6,pci express 3.0,249.95,ldlc.com,206.0,125.0,46.0,geforce
asus phoenix geforce gtx 1630 4gb,geforce gtx 1630,asus,4,gddr6,pci express 3.0,209.95,ldlc.com,174.0,126.0,39.0,geforce
asus radeon rx 6750 xt dual o12g,radeon rx 6750,asus,12,gddr6,pci express 4.0,569.95,ldlc.com,295.0,139.0,55.0,radeon
asus radeon rx7900xt-20g,radeon rx 7900,asus,20,gddr6,pci express 4.0,1199.95,ldlc.com,276.4,112.65,51.25,radeon
asus radeon rx7900xtx-24g,radeon rx 7900,asus,24,gddr6,pci express 4.0,1349.95,ldlc.com,287.0,123.2,51.25,radeon
asus rog strix geforce rtx 4070 ti 12gb,geforce rtx 4070,asus,12,gddr6x,pci express 4.0,1199.95,ldlc.com,336.0,150.0,63.0,geforce
asus rog strix geforce rtx 4070 ti oc edition 12gb,geforce rtx 4070,asus,12,gddr6x,pci express 4.0,1239.95,ldlc.com,336.0,150.0,63.0,geforce
asus rog strix geforce rtx 4080 16gb,geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1799.95,ldlc.com,358.0,150.0,70.0,geforce
asus rog strix geforce rtx 4080 oc edition 16gb,geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1799.95,ldlc.com,358.0,150.0,70.0,geforce
asus rog strix geforce rtx 4090 oc edition 24gb,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2449.96,ldlc.com,357.6,149.3,70.1,geforce
asus rog strix geforce rtx 4090 white oc edition 24gb,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2499.95,ldlc.com,357.6,149.3,70.1,geforce
asus tuf gaming geforce rtx 4080 16gb,geforce rtx 4080,asus,16,gddr6x,pci express 4.0,1469.95,ldlc.com,349.0,150.0,73.0,geforce
asus tuf gaming geforce rtx 4090 24gb,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2239.96,ldlc.com,348.2,160.0,72.6,geforce
asus tuf geforce rtx 3060 o12g gaming v2 (lhr),geforce rtx 3060,asus,12,gddr6,pci express 4.0,499.96,ldlc.com,301.0,143.0,54.0,geforce
